year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,nslp_status,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
23,16,63925,0000000,Kings,Hanford Joint Union High,,High School District,,,,,,,,,,4071,2993,34,0,58,127,1884,3001,473,3039,Y,,,,,,,,,1,16639250000000
23,16,63933,0000000,Kings,Island Union Elementary,,Elementary School District,,,,,,,,,,392,170,0,0,18,6,127,170,21,172,Y,,,,,,,,,1,16639330000000
23,16,63941,0000000,Kings,Kings River-Hardwick Union Elementary,,Elementary School District,,,,,,,,,,822,158,1,0,0,7,170,247,38,255,Y,,,,,,,,,1,16639410000000
23,16,63958,0136556,Kings,Kit Carson Union Elementary,Kings Valley Academy II,Elementary School District,K-12 Schools (Public),Traditional,,Yes,1896,Directly funded,Y,K,12,1044,849,17,0,29,14,647,930,176,938,Y,1,12,10,,1,1,14,12,1,16639580136556
23,16,63958,6113120,Kings,Kit Carson Union Elementary,Mid Valley Alternative Charter,Elementary School District,Elementary Schools (Public),Traditional,,Yes,0088,Locally funded,N,K,8,56,42,1,0,0,0,33,42,2,43,Y,1,6,10,,2,0,14,8,1,16639586113120
23,16,63958,0000000,Kings,Kit Carson Union Elementary,,Elementary School District,,,,,,,,,,378,285,6,0,1,3,196,285,93,292,Y,,,,,,,,,1,16639580000000
23,16,63966,0000000,Kings,Lakeside Union Elementary,,Elementary School District,,,,,,,,,,238,221,6,0,0,2,169,221,116,229,Y,,,,,,,,,1,16639660000000
23,16,63974,0100156,Kings,Lemoore Union Elementary,Lemoore University Elementary Charter,Elementary School District,Intermediate/Middle Schools (Public),Traditional,CEP,Yes,0489,Locally funded,N,6,8,136,86,0,0,0,0,56,86,8,86,Y,1,9,10,2,2,0,6,8,1,16639740100156
23,16,63974,0000000,Kings,Lemoore Union Elementary,,Elementary School District,,,,,,,,,,3090,2408,27,0,55,44,1544,2409,448,2454,Y,,,,,,,,,1,16639740000000
23,16,63982,0110205,Kings,Lemoore Union High,Lemoore Middle College High,High School District,High Schools (Public),Traditional,Provision 2,Yes,1068,Directly funded,N,9,12,237,69,0,0,2,7,56,74,11,78,Y,1,7,10,5,1,0,9,12,1,16639820110205
23,16,63982,0136234,Kings,Lemoore Union High,Lemoore Online College Preparatory High,High School District,High Schools (Public),Traditional,CEP,Yes,1877,Directly funded,N,9,12,162,76,3,0,3,2,72,78,28,91,Y,1,7,10,2,1,0,9,12,1,16639820136234
23,16,63982,0000000,Kings,Lemoore Union High,,High School District,,,,,,,,,,1946,1017,15,1,19,33,730,1037,175,1069,Y,,,,,,,,,1,16639820000000
23,16,63990,0000000,Kings,Pioneer Union Elementary,,Elementary School District,,,,,,,,,,1573,717,10,0,13,6,466,723,133,767,Y,,,,,,,,,1,16639900000000
23,16,73932,0000000,Kings,Reef-Sunset Unified,,Unified School District,,,,,,,,,,2722,2464,12,0,90,85,1624,2479,1444,2645,Y,,,,,,,,,1,16739320000000
23,17,10173,0000000,Lake,Lake County Office of Education,,County Office of Education (COE),,,,,,,,,,34,28,0,0,7,0,22,29,0,29,Y,,,,,,,,,1,17101730000000
23,17,64014,0000000,Lake,Kelseyville Unified,,Unified School District,,,,,,,,,,1833,1047,8,0,87,85,956,1283,311,1302,Y,,,,,,,,,1,17640140000000
23,17,64022,0000000,Lake,Konocti Unified,,Unified School District,,,,,,,,,,3816,3105,14,0,169,159,2582,3180,964,3302,Y,,,,,,,,,1,17640220000000
23,17,64030,0000000,Lake,Lakeport Unified,,Unified School District,,,,,,,,,,1349,837,6,2,68,36,719,873,146,899,Y,,,,,,,,,1,17640300000000
23,17,64048,0000000,Lake,Lucerne Elementary,,Elementary School District,,,,,,,,,,300,233,0,1,28,8,221,237,23,238,Y,,,,,,,,,1,17640480000000
23,17,64055,0129601,Lake,Middletown Unified,California Connections Academy North Bay,Unified School District,K-12 Schools (Public),Traditional,,Yes,1653,Directly funded,Y,K,12,154,90,1,0,0,0,76,92,1,92,Y,1,12,10,,1,1,14,12,1,17640550129601
23,17,64055,0108340,Lake,Middletown Unified,Lake County International Charter,Unified School District,Elementary Schools (Public),Traditional,Provision 2,Yes,0681,Directly funded,Y,K,8,75,48,1,0,0,0,36,53,2,53,Y,1,6,10,5,1,1,14,8,1,17640550108340
23,17,64055,0000000,Lake,Middletown Unified,,Unified School District,,,,,,,,,,1449,663,7,0,74,5,432,717,124,759,Y,,,,,,,,,1,17640550000000
23,17,76976,0000000,Lake,Upper Lake Unified,,Unified School District,,,,,,,,,,891,730,3,1,18,12,495,752,61,755,Y,,,,,,,,,1,17769760000000
23,18,10181,0000000,Lassen,Lassen County Office of Education,,County Office of Education (COE),,,,,,,,,,13,0,1,0,0,0,2,3,0,3,Y,,,,,,,,,1,18101810000000
