year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,nslp_status,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
20,01,61259,3030772,Alameda,Oakland Unified,Oakland School for the Arts,Unified School District,K-12 Schools (Public),Traditional,Not Participating,Yes,0340,Directly funded,Y,6,12,793,63,0,1,0,106,126,5,128,Y,1,12,10,,1,1,6,12,1,01612593030772
20,01,61259,6111660,Alameda,Oakland Unified,Oakland Charter Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Yes,0014,Directly funded,Y,6,8,238,216,0,14,0,104,225,91,228,Y,1,9,10,,1,1,6,8,1,01612596111660
20,01,61259,6113807,Alameda,Oakland Unified,American Indian Public Charter,Unified School District,Junior High Schools (Public),Traditional,,Yes,0106,Directly funded,Y,6,8,233,68,0,0,0,115,146,66,178,Y,1,10,10,,1,1,6,8,1,01612596113807
20,01,61259,6117568,Alameda,Oakland Unified,Aspire Monarch Academy,Unified School District,Elementary Schools (Public),Traditional,,Yes,0252,Directly funded,Y,K,5,414,371,1,5,0,170,371,167,387,Y,1,6,10,,1,1,14,5,1,01612596117568
20,01,61259,6117972,Alameda,Oakland Unified,North Oakland Community Charter,Unified School District,Elementary Schools (Public),Traditional,,Yes,0302,Directly funded,Y,K,8,187,56,1,0,0,79,114,32,120,Y,1,6,10,,1,1,14,8,1,01612596117972
20,01,61259,6118608,Alameda,Oakland Unified,ASCEND,Unified School District,Elementary Schools (Public),Traditional,,Yes,1443,Directly funded,Y,K,8,494,375,0,0,0,181,385,269,439,Y,1,6,10,,1,1,14,8,1,01612596118608
20,01,61275,0000000,Alameda,Piedmont City Unified,,Unified School District,,,,,,,,,,2566,0,0,1,0,39,40,23,60,Y,,,,,,,,,1,01612750000000
20,01,61291,0000000,Alameda,San Leandro Unified,,Unified School District,,,,,,,,,,9067,5381,15,106,0,2754,5453,2406,6048,Y,,,,,,,,,1,01612910000000
20,01,61309,0000000,Alameda,San Lorenzo Unified,,Unified School District,,,,,,,,,,9806,5953,17,130,68,3241,6081,2777,6797,Y,,,,,,,,,1,01613090000000
20,01,61309,0101212,Alameda,San Lorenzo Unified,KIPP Summit Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Yes,0524,Directly funded,Y,5,8,416,290,1,2,0,121,293,107,313,Y,1,9,10,,1,1,5,8,1,01613090101212
20,01,61309,0114421,Alameda,San Lorenzo Unified,KIPP King Collegiate High,Unified School District,High Schools (Public),Traditional,Not Participating,Yes,0880,Directly funded,Y,9,12,654,430,1,6,0,169,432,30,436,Y,1,7,10,,1,1,9,12,1,01613090114421
20,01,75093,0000000,Alameda,Dublin Unified,,Unified School District,,,,,,,,,,12575,847,4,4,0,826,1031,925,1774,Y,,,,,,,,,1,01750930000000
20,01,75101,0000000,Alameda,Pleasanton Unified,,Unified School District,,,,,,,,,,14878,1175,6,4,0,649,1192,1701,2547,Y,,,,,,,,,1,01751010000000
20,01,75119,0000000,Alameda,Sunol Glen Unified,,Unified School District,,,,,,,,,,290,21,0,0,0,21,21,11,31,Y,,,,,,,,,1,01751190000000
20,01,77180,0138289,Alameda,SBE - Latitude 37.8 High,Latitude 37.8 High,State Board of Education,High Schools In 1 School Dist. (Public),Traditional,,Yes,2015,Directly funded,N,9,12,103,75,1,0,0,31,75,36,79,Y,1,8,10,,1,0,9,12,1,01771800138289
20,02,10025,0000000,Alpine,Alpine County Office of Education,,County Office of Education (COE),,,,,,,,,,0,0,0,0,0,0,0,0,0,Y,,,,,,,,,1,02100250000000
20,02,61333,0000000,Alpine,Alpine County Unified,,Unified School District,,,,,,,,,,70,27,2,14,0,29,43,0,43,Y,,,,,,,,,1,02613330000000
