year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
24,01,61259,0130666,Alameda,Oakland Unified,Aspire Lionel Wilson College Preparatory Academy,Unified School District,K-12 Schools (Public),Traditional,Yes,0465,Directly funded,Y,6,12,406,346,0,0,6,0,184,349,86,354,Y,1,12,10,1,1,6,12,1,01612590130666
24,01,61259,6117568,Alameda,Oakland Unified,Aspire Monarch Academy,Unified School District,Elementary Schools (Public),Traditional,Yes,0252,Directly funded,Y,K,5,401,334,0,0,12,0,180,334,262,367,Y,1,6,10,1,1,14,5,1,01612596117568
24,01,61259,0130732,Alameda,Oakland Unified,Aspire Triumph Technology Academy,Unified School District,Elementary Schools (Public),Traditional,Yes,1663,Directly funded,Y,K,5,245,217,9,0,8,0,169,226,60,227,Y,1,6,10,1,1,14,5,1,01612590130732
24,01,61259,0106906,Alameda,Oakland Unified,Bay Area Technology,Unified School District,K-12 Schools (Public),Traditional,Yes,0661,Directly funded,Y,6,12,309,246,2,0,17,0,157,248,81,262,Y,1,12,10,1,1,6,12,1,01612590106906
24,01,61259,0129635,Alameda,Oakland Unified,Downtown Charter Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,Yes,1661,Directly funded,Y,6,8,259,204,0,0,0,0,148,204,62,211,Y,1,9,10,1,1,6,8,1,01612590129635
24,01,61259,0129932,Alameda,Oakland Unified,East Bay Innovation Academy,Unified School District,K-12 Schools (Public),Traditional,Yes,1620,Directly funded,Y,6,12,502,192,1,0,0,0,151,194,48,210,Y,1,12,10,1,1,6,12,1,01612590129932
24,01,61259,0132514,Alameda,Oakland Unified,Francophone Charter School of Oakland,Unified School District,Elementary Schools (Public),Traditional,Yes,1708,Directly funded,Y,K,8,331,110,0,0,5,0,76,116,57,138,Y,1,6,10,1,1,14,8,1,01612590132514
24,01,61259,0115014,Alameda,Oakland Unified,KIPP Bridge Academy,Unified School District,Elementary Schools (Public),Traditional,Yes,0938,Directly funded,Y,K,8,487,447,0,0,18,0,328,449,122,454,Y,1,6,10,1,1,14,8,1,01612590115014
24,01,61259,0115592,Alameda,Oakland Unified,Learning Without Limits,Unified School District,Elementary Schools (Public),Traditional,Yes,1442,Directly funded,Y,K,5,353,303,1,0,5,0,187,303,193,317,Y,1,6,10,1,1,14,5,1,01612590115592
24,01,61259,0130633,Alameda,Oakland Unified,Lighthouse Community Charter,Unified School District,Elementary Schools (Public),Traditional,Yes,0413,Directly funded,Y,K,8,554,501,0,0,16,0,264,515,264,528,Y,1,6,10,1,1,14,8,1,01612590130633
24,01,61259,0108944,Alameda,Oakland Unified,Lighthouse Community Charter High,Unified School District,High Schools (Public),Traditional,Yes,0700,Directly funded,Y,9,12,302,273,1,0,8,0,141,282,89,289,Y,1,7,10,1,1,9,12,1,01612590108944
24,01,61259,0134015,Alameda,Oakland Unified,Lodestar: A Lighthouse Community Charter Public,Unified School District,K-12 Schools (Public),Traditional,Yes,1783,Directly funded,Y,K,12,739,618,3,0,17,0,318,660,333,686,Y,1,12,10,1,1,14,12,1,01612590134015
24,01,61259,0126748,Alameda,Oakland Unified,LPS Oakland R & D Campus,Unified School District,High Schools (Public),Traditional,Yes,1449,Directly funded,Y,9,12,218,91,1,0,0,0,110,131,81,161,Y,1,7,10,1,1,9,12,1,01612590126748
24,01,61259,6117972,Alameda,Oakland Unified,North Oakland Community Charter,Unified School District,Elementary Schools (Public),Traditional,Yes,0302,Directly funded,Y,K,5,111,56,1,0,3,0,48,72,16,78,Y,1,6,10,1,1,14,5,1,01612596117972
24,01,61259,6111660,Alameda,Oakland Unified,Oakland Charter Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,Yes,0014,Directly funded,Y,6,8,223,170,2,0,0,0,112,172,118,210,Y,1,9,10,1,1,6,8,1,01612596111660
24,01,61259,0114868,Alameda,Oakland Unified,Oakland Charter High,Unified School District,High Schools (Public),Traditional,Yes,0883,Directly funded,Y,9,12,359,241,1,0,0,0,190,246,105,285,Y,1,7,10,1,1,9,12,1,01612590114868
24,01,61259,0130617,Alameda,Oakland Unified,"Oakland Military Institute, College Preparatory Academy",Unified School District,K-12 Schools (Public),Traditional,Yes,0349,Directly funded,Y,6,12,518,452,2,0,12,0,260,461,203,480,Y,1,12,10,1,1,6,12,1,01612590130617
24,01,61259,3030772,Alameda,Oakland Unified,Oakland School for the Arts,Unified School District,K-12 Schools (Public),Traditional,Yes,0340,Directly funded,Y,6,12,780,164,3,0,1,0,158,185,6,186,Y,1,12,10,1,1,6,12,1,01612593030772
24,01,61259,0100065,Alameda,Oakland Unified,Oakland Unity High,Unified School District,High Schools (Public),Traditional,Yes,0510,Directly funded,Y,9,12,304,295,1,0,0,0,111,297,96,300,Y,1,7,10,1,1,9,12,1,01612590100065
24,01,61259,0000000,Alameda,Oakland Unified,,Unified School District,,,,,,,,,33873,27535,172,0,2302,2,15647,27666,11153,27876,Y,,,,,,,,1,01612590000000
24,01,61275,0000000,Alameda,Piedmont City Unified,,Unified School District,,,,,,,,,2308,76,0,0,9,0,70,81,27,96,Y,,,,,,,,1,01612750000000
24,01,61291,0000000,Alameda,San Leandro Unified,,Unified School District,,,,,,,,,8741,6465,26,0,93,0,3297,6621,2130,6917,Y,,,,,,,,1,01612910000000
24,01,61309,0114421,Alameda,San Lorenzo Unified,KIPP King Collegiate High,Unified School District,High Schools (Public),Traditional,Yes,0880,Directly funded,Y,9,12,690,507,0,0,12,0,243,510,100,525,Y,1,7,10,1,1,9,12,1,01613090114421
24,01,61309,0101212,Alameda,San Lorenzo Unified,KIPP Summit Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,Yes,0524,Directly funded,Y,5,8,422,321,1,0,5,0,170,322,143,334,Y,1,9,10,1,1,5,8,1,01613090101212
24,01,61309,0000000,Alameda,San Lorenzo Unified,,Unified School District,,,,,,,,,8123,6259,18,0,226,30,3334,6329,2639,6683,Y,,,,,,,,1,01613090000000
24,01,75093,0000000,Alameda,Dublin Unified,,Unified School District,,,,,,,,,12827,0,11,0,3,0,1052,1059,801,1706,Y,,,,,,,,1,01750930000000
24,01,75101,0000000,Alameda,Pleasanton Unified,,Unified School District,,,,,,,,,13684,1028,3,0,40,0,1038,1266,1405,2309,Y,,,,,,,,1,01751010000000
24,01,75119,0000000,Alameda,Sunol Glen Unified,,Unified School District,,,,,,,,,268,0,1,0,1,0,26,28,14,40,Y,,,,,,,,1,01751190000000
24,01,77180,0138289,Alameda,SBE - Latitude 37.8 High,Latitude 37.8 High,State Board of Education,High Schools In 1 School Dist. (Public),Traditional,Yes,2015,Directly funded,N,9,12,350,242,2,0,2,0,158,251,91,262,Y,1,8,10,1,0,9,12,1,01771800138289
24,02,10025,0000000,Alpine,Alpine County Office of Education,,County Office of Education (COE),,,,,,,,,2,0,0,0,0,0,2,2,0,2,Y,,,,,,,,1,02100250000000
24,02,61333,0000000,Alpine,Alpine County Unified,,Unified School District,,,,,,,,,65,4,0,1,4,0,37,40,1,41,Y,,,,,,,,1,02613330000000
24,03,10033,0000000,Amador,Amador County Office of Education,,County Office of Education (COE),,,,,,,,,21,0,1,0,2,0,5,7,0,7,Y,,,,,,,,1,03100330000000
24,03,73981,0000000,Amador,Amador County Unified,,Unified School District,,,,,,,,,4067,581,27,0,180,78,1551,1702,126,1741,Y,,,,,,,,1,03739810000000
24,04,10041,0134213,Butte,Butte County Office of Education,Come Back Butte Charter,County Office of Education (COE),High Schools (Public),Traditional,Yes,1811,Locally funded,N,9,12,77,72,2,0,35,0,50,72,3,72,Y,1,7,10,2,0,9,12,1,04100410134213
24,04,10041,0114991,Butte,Butte County Office of Education,CORE Butte Charter,County Office of Education (COE),K-12 Schools (Public),Traditional,Yes,0945,Directly funded,Y,K,12,898,453,0,0,19,0,300,453,10,453,Y,1,12,10,1,1,14,12,1,04100410114991
24,04,10041,0430090,Butte,Butte County Office of Education,Hearthstone,County Office of Education (COE),K-12 Schools (Public),Traditional,Yes,0110,Locally funded,N,K,12,179,143,1,0,1,0,125,144,3,145,Y,1,12,10,2,0,14,12,1,04100410430090
24,04,10041,0000000,Butte,Butte County Office of Education,,County Office of Education (COE),,,,,,,,,132,105,6,0,14,1,80,106,8,106,Y,,,,,,,,1,04100410000000
24,04,61382,0000000,Butte,Bangor Union Elementary,,Elementary School District,,,,,,,,,82,6,0,0,2,0,37,40,10,45,Y,,,,,,,,1,04613820000000
24,04,61408,0000000,Butte,Biggs Unified,,Unified School District,,,,,,,,,548,323,3,0,50,9,263,343,47,354,Y,,,,,,,,1,04614080000000
24,04,61424,0141085,Butte,Chico Unified,Achieve Charter School of Chico,Unified School District,Elementary Schools (Public),Traditional,Yes,2120,Directly funded,Y,K,8,215,86,1,0,1,0,62,86,5,86,Y,1,6,10,1,1,14,8,1,04614240141085
24,04,61424,6119523,Butte,Chico Unified,Blue Oak Charter,Unified School District,Elementary Schools (Public),Traditional,Yes,0415,Directly funded,Y,K,8,232,125,3,0,3,0,118,126,11,130,Y,1,6,10,1,1,14,8,1,04614246119523
24,04,61424,6113773,Butte,Chico Unified,Chico Country Day,Unified School District,Elementary Schools (Public),Traditional,Yes,0112,Directly funded,Y,K,8,574,167,4,0,4,0,156,172,15,181,Y,1,6,10,1,1,14,8,1,04614246113773
24,04,61424,0118042,Butte,Chico Unified,Forest Ranch Charter,Unified School District,Elementary Schools (Public),Traditional,Yes,1019,Directly funded,Y,K,8,108,67,4,0,0,0,49,67,1,68,Y,1,6,10,1,1,14,8,1,04614240118042
24,04,61424,0120394,Butte,Chico Unified,Inspire School of Arts and Sciences,Unified School District,High Schools (Public),Traditional,Yes,1114,Directly funded,Y,9,12,357,191,6,0,15,0,128,201,1,201,Y,1,7,10,1,1,9,12,1,04614240120394
24,04,61424,0110551,Butte,Chico Unified,Nord Country,Unified School District,Elementary Schools (Public),Traditional,Yes,0729,Directly funded,Y,K,8,213,43,0,0,0,0,35,43,3,43,Y,1,6,10,1,1,14,8,1,04614240110551
24,04,61424,0137828,Butte,Chico Unified,Pivot Charter School North Valley II,Unified School District,K-12 Schools (Public),Traditional,Yes,1982,Directly funded,Y,6,12,106,51,3,0,5,0,53,69,2,69,Y,1,12,10,1,1,6,12,1,04614240137828
24,04,61424,0121475,Butte,Chico Unified,Sherwood Montessori,Unified School District,Elementary Schools (Public),Traditional,Yes,1166,Directly funded,Y,K,8,111,52,1,0,12,0,59,65,3,65,Y,1,6,10,1,1,14,8,1,04614240121475
24,04,61424,0123810,Butte,Chico Unified,Wildflower Open Classroom,Unified School District,Elementary Schools (Public),Traditional,Yes,1280,Directly funded,Y,K,8,170,65,0,0,1,0,54,65,1,66,Y,1,6,10,1,1,14,8,1,04614240123810
24,04,61424,0000000,Butte,Chico Unified,,Unified School District,,,,,,,,,12316,6210,76,0,523,17,4956,6564,843,6689,Y,,,,,,,,1,04614240000000
24,04,61432,0000000,Butte,Durham Unified,,Unified School District,,,,,,,,,1026,422,5,0,23,9,304,422,75,427,Y,,,,,,,,1,04614320000000
24,04,61457,0000000,Butte,Golden Feather Union Elementary,,Elementary School District,,,,,,,,,72,61,4,0,2,2,45,61,5,61,Y,,,,,,,,1,04614570000000
24,04,61499,0000000,Butte,Manzanita Elementary,,Elementary School District,,,,,,,,,323,127,1,0,1,2,119,129,59,145,Y,,,,,,,,1,04614990000000
24,04,61507,0121509,Butte,Oroville City Elementary,Ipakanni Early College Charter,Elementary School District,K-12 Schools (Public),Traditional,Yes,1170,Directly funded,Y,K,12,63,43,1,0,0,0,44,45,0,45,Y,1,12,10,1,1,14,12,1,04615070121509
24,04,61507,0129577,Butte,Oroville City Elementary,STREAM Charter,Elementary School District,Elementary Schools (Public),Traditional,Yes,1616,Directly funded,Y,K,8,481,255,1,0,7,0,173,257,21,262,Y,1,6,10,1,1,14,8,1,04615070129577
24,04,61507,0000000,Butte,Oroville City Elementary,,Elementary School District,,,,,,,,,2054,1707,47,0,108,4,1374,1707,138,1714,Y,,,,,,,,1,04615070000000
24,04,61515,0000000,Butte,Oroville Union High,,High School District,,,,,,,,,2264,1660,20,0,101,0,1319,1801,118,1808,Y,,,,,,,,1,04615150000000
24,04,61523,0000000,Butte,Palermo Union Elementary,,Elementary School District,,,,,,,,,1283,1006,10,0,94,2,761,1027,154,1038,Y,,,,,,,,1,04615230000000
24,04,61531,0110338,Butte,Paradise Unified,Achieve Charter School of Paradise Inc.,Unified School District,Elementary Schools (Public),Traditional,Yes,0751,Directly funded,Y,K,8,141,67,0,0,1,0,46,69,9,71,Y,1,6,10,1,1,14,8,1,04615310110338
24,04,61531,6113765,Butte,Paradise Unified,Children's Community Charter,Unified School District,Elementary Schools (Public),Traditional,Yes,0094,Directly funded,Y,K,8,197,84,1,0,8,0,103,129,4,129,Y,1,6,10,1,1,14,8,1,04615316113765
24,04,61531,6112585,Butte,Paradise Unified,HomeTech Charter,Unified School District,K-12 Schools (Public),Traditional,Yes,0067,Directly funded,Y,K,12,121,81,1,0,13,0,71,85,0,85,Y,1,12,10,1,1,14,12,1,04615316112585
24,04,61531,6112999,Butte,Paradise Unified,Paradise Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Yes,0079,Directly funded,Y,6,8,144,60,0,0,0,0,48,60,1,60,Y,1,9,10,1,1,6,8,1,04615316112999
24,04,61531,0000000,Butte,Paradise Unified,,Unified School District,,,,,,,,,1652,1070,15,0,62,0,884,1134,19,1136,Y,,,,,,,,1,04615310000000
24,04,61549,0000000,Butte,Thermalito Union Elementary,,Elementary School District,,,,,,,,,1520,1286,10,0,33,0,1059,1293,191,1319,Y,,,,,,,,1,04615490000000
24,04,73379,0000000,Butte,Pioneer Union Elementary,,Elementary School District,,,,,,,,,31,30,0,0,9,0,27,30,1,30,Y,,,,,,,,1,04733790000000
24,04,75507,0000000,Butte,Gridley Unified,,Unified School District,,,,,,,,,1995,1264,8,0,23,67,1082,1508,286,1524,Y,,,,,,,,1,04755070000000
24,05,10058,0530154,Calaveras,Calaveras County Office of Education,Mountain Oaks,County Office of Education (COE),K-12 Schools (Public),Traditional,Yes,0527,Locally funded,Y,K,12,398,141,3,0,14,0,177,226,3,226,Y,1,12,10,2,1,14,12,1,05100580530154
24,05,10058,0000000,Calaveras,Calaveras County Office of Education,,County Office of Education (COE),,,,,,,,,40,0,11,0,0,0,17,27,1,27,Y,,,,,,,,1,05100580000000
24,05,61556,0000000,Calaveras,Bret Harte Union High,,High School District,,,,,,,,,627,271,4,0,7,0,256,309,24,319,Y,,,,,,,,1,05615560000000
24,05,61564,0000000,Calaveras,Calaveras Unified,,Unified School District,,,,,,,,,2845,0,28,0,142,0,1248,1294,109,1346,Y,,,,,,,,1,05615640000000
24,05,61572,0000000,Calaveras,Mark Twain Union Elementary,,Elementary School District,,,,,,,,,767,448,9,0,19,0,366,464,47,472,Y,,,,,,,,1,05615720000000
24,05,61580,0000000,Calaveras,Vallecito Union,,Elementary School District,,,,,,,,,580,320,1,0,22,0,184,326,28,334,Y,,,,,,,,1,05615800000000
24,06,10066,0000000,Colusa,Colusa County Office of Education,,County Office of Education (COE),,,,,,,,,42,38,3,0,5,0,26,40,2,40,Y,,,,,,,,1,06100660000000
24,06,61598,0000000,Colusa,Colusa Unified,,Unified School District,,,,,,,,,1463,970,5,1,50,15,693,1131,314,1169,Y,,,,,,,,1,06615980000000
24,06,61606,0000000,Colusa,Maxwell Unified,,Unified School District,,,,,,,,,350,188,1,0,80,9,129,220,119,245,Y,,,,,,,,1,06616060000000
24,06,61614,0000000,Colusa,Pierce Joint Unified,,Unified School District,,,,,,,,,1494,1063,7,0,65,48,547,1080,389,1135,Y,,,,,,,,1,06616140000000
24,06,61622,0000000,Colusa,Williams Unified,,Unified School District,,,,,,,,,1354,1284,2,0,148,189,704,1284,711,1305,Y,,,,,,,,1,06616220000000
24,07,10074,0129528,Contra Costa,Contra Costa County Office of Education,Caliber: Beta Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,1622,Directly funded,Y,K,8,949,728,0,0,3,0,347,731,287,763,Y,1,6,10,1,1,14,8,1,07100740129528
24,07,10074,0731380,Contra Costa,Contra Costa County Office of Education,Clayton Valley Charter High,County Office of Education (COE),High Schools (Public),Traditional,Yes,1400,Directly funded,Y,9,12,2390,408,1,0,0,0,438,554,91,596,Y,1,7,10,1,1,9,12,1,07100740731380
24,07,10074,0134114,Contra Costa,Contra Costa County Office of Education,Contra Costa School of Performing Arts,County Office of Education (COE),K-12 Schools (Public),Traditional,Yes,1773,Directly funded,Y,6,12,361,124,3,0,5,0,120,166,34,175,Y,1,12,10,1,1,6,12,1,07100740134114
24,07,10074,0730614,Contra Costa,Contra Costa County Office of Education,Golden Gate Community,County Office of Education (COE),County Community,County Community School,Yes,1887,Locally funded,N,6,12,103,75,2,0,5,0,59,75,20,77,Y,1,3,4,2,0,6,12,1,07100740730614
24,07,10074,0137026,Contra Costa,Contra Costa County Office of Education,Invictus Academy of Richmond,County Office of Education (COE),High Schools (Public),Traditional,Yes,1933,Directly funded,Y,7,12,389,288,1,0,8,0,171,292,92,305,Y,1,7,10,1,1,7,12,1,07100740137026
24,07,10074,0114470,Contra Costa,Contra Costa County Office of Education,Making Waves Academy,County Office of Education (COE),K-12 Schools (Public),Traditional,Yes,0868,Directly funded,Y,5,12,1103,852,1,0,2,0,423,863,288,917,Y,1,12,10,1,1,5,12,1,07100740114470
