year,district_code,district_name
23,64568,Glendale Unified
23,64576,Glendora Unified
23,10116,Glenn County Office of Education
23,61879,Gold Oak Union Elementary
23,61887,Gold Trail Union Elementary
23,61457,Golden Feather Union Elementary
23,75234,Golden Plains Unified
23,75580,Golden Valley Unified
23,69195,Goleta Union Elementary
23,75473,Gonzales Unified
23,64584,Gorman Joint
23,70003,Grant Elementary
23,66332,Grass Valley Elementary
23,71084,Gratton Elementary
23,70714,Gravenstein Union Elementary
23,66027,Graves Elementary
23,62851,Green Point Elementary
23,63503,Greenfield Union
23,66035,Greenfield Union Elementary
23,70326,Grenada Elementary
23,75507,Gridley Unified
23,68130,Grossmont Union High
23,69203,Guadalupe Union Elementary
23,70722,Guerneville Elementary
23,73619,Gustine Unified
23,73445,Hacienda la Puente Unified
23,76562,Hamilton Unified
23,63917,Hanford Elementary
23,63925,Hanford Joint Union High
23,70334,Happy Camp Union Elementary
23,69757,Happy Valley Elementary
23,70011,Happy Valley Union Elementary
23,70730,Harmony Union Elementary
23,71092,Hart-Ransom Union Elementary
23,64592,Hawthorne
23,61192,Hayward Unified
23,75390,Healdsburg Unified
23,63131,Heber Elementary
23,67736,Helendale Elementary
23,67082,Hemet Unified
23,64600,Hermosa Beach City Elementary
23,75044,Hesperia Unified
23,71100,Hickman Community Charter
23,68908,Hillsborough City Elementary
23,65698,Hilmar Unified
23,67470,Hollister
23,63149,Holtville Unified
23,69211,Hope Elementary
23,71944,Hope Elementary
23,70763,Horicon Elementary
23,70359,Hornbrook Elementary
23,71951,Hot Springs Elementary
23,66258,Howell Mountain Elementary
23,72462,Hueneme Elementary
23,64626,Hughes-Elizabeth Lakes Union Elementary
23,75549,Hughson Unified
23,10124,Humboldt County Office of Education
23,66530,Huntington Beach City Elementary
23,66548,Huntington Beach Union High
23,62885,Hydesville Elementary
23,70029,"Igo, Ono, Platina Union Elementary"
23,10132,Imperial County Office of Education
23,63164,Imperial Unified
23,61895,Indian Diggings Elementary
23,64634,Inglewood Unified
23,10140,Inyo County Office of Education
23,73650,Irvine Unified
23,63933,Island Union Elementary
23,62893,Jacoby Creek Elementary
23,72363,Jamestown Elementary
23,68155,Jamul-Dulzura Union Elementary
23,64105,Janesville Union Elementary
23,67488,Jefferson Elementary
23,68544,Jefferson Elementary
23,68916,Jefferson Elementary
23,68924,Jefferson Union High
23,61697,John Swett Unified
23,64113,Johnstonville Elementary
23,68163,Julian Union Elementary
23,68171,Julian Union High
23,71738,Junction City Elementary
23,70045,Junction Elementary
23,70367,Junction Elementary
23,67090,Jurupa Unified
23,70888,Kashia Elementary
23,64014,Kelseyville Unified
23,65334,Kentfield Elementary
23,70789,Kenwood
23,64642,Keppel Union Elementary
23,73999,Kerman Unified
23,10157,Kern County Office of Education
23,63529,Kern High
23,63545,Kernville Union Elementary
23,71134,Keyes Union
23,66050,King City Union
23,62265,Kings Canyon Joint Unified
23,10165,Kings County Office of Education
23,71969,Kings River Union Elementary
23,63941,Kings River-Hardwick Union Elementary
23,62240,Kingsburg Elementary Charter
23,62257,Kingsburg Joint Union High
23,71555,Kirkwood Elementary
23,63958,Kit Carson Union Elementary
23,70375,Klamath River Union Elementary
23,62901,Klamath-Trinity Joint Unified
23,62919,Kneeland Elementary
23,71142,Knights Ferry Elementary
23,61705,Knightsen Elementary
23,64022,Konocti Unified
23,64659,La Canada Unified
23,66563,La Habra City Elementary
23,68940,La Honda-Pescadero Unified
23,68197,La Mesa-Spring Valley
23,61713,Lafayette Elementary
23,66555,Laguna Beach Unified
23,65342,Laguna Joint Elementary
23,66076,Lagunita Elementary
23,65359,Lagunitas Elementary
23,10173,Lake County Office of Education
23,62596,Lake Elementary
23,75176,Lake Elsinore Unified
23,61903,Lake Tahoe Unified
23,64030,Lakeport Unified
23,69492,Lakeside Joint
23,63552,Lakeside Union
23,63966,Lakeside Union Elementary
23,68189,Lakeside Union Elementary
23,76760,Lammersville Joint Unified
23,63560,Lamont Elementary
23,64667,Lancaster Elementary
23,65367,Larkspur-Corte Madera
23,68957,Las Lomitas Elementary
23,64683,Las Virgenes Unified
23,10181,Lassen County Office of Education
23,64139,Lassen Union High
23,71563,Lassen View Union Elementary
23,62281,Laton Joint Unified
23,61911,Latrobe
23,64691,Lawndale Elementary
23,73916,Laytonville Unified
23,65722,Le Grand Union Elementary
23,65730,Le Grand Union High
23,75218,Leggett Valley Unified
23,68205,Lemon Grove
23,63974,Lemoore Union Elementary
23,63982,Lemoore Union High
23,64709,Lennox
23,71746,Lewiston Elementary
23,70797,Liberty Elementary
23,71985,Liberty Elementary
23,61721,Liberty Union High
23,68569,Lincoln Unified
23,68577,Linden Unified
23,71993,Lindsay Unified
23,63586,Linns Valley-Poso Flat Union
23,64717,Little Lake City Elementary
23,70383,Little Shasta Elementary
23,69765,Live Oak Elementary
23,71399,Live Oak Unified
23,61200,Livermore Valley Joint Unified
23,65748,Livingston Union
23,68585,Lodi Unified
23,62927,Loleta Union Elementary
23,69500,Loma Prieta Joint Union Elementary
23,69229,Lompoc Unified
23,63289,Lone Pine Unified
23,64725,Long Beach Unified
23,66845,Loomis Union Elementary
23,73924,Los Alamitos Unified
23,69518,Los Altos Elementary
23,10199,Los Angeles County Office of Education
23,64733,Los Angeles Unified
23,65755,Los Banos Unified
23,69526,Los Gatos Union Elementary
23,69534,Los Gatos-Saratoga Union High
23,71571,Los Molinos Unified
23,64758,Los Nietos
23,69245,Los Olivos Elementary
23,63594,Lost Hills Union Elementary
23,64766,Lowell Joint
23,64048,Lucerne Elementary
23,75051,Lucerne Valley Unified
23,68759,Lucia Mar Unified
23,69542,Luther Burbank
23,64774,Lynwood Unified
23,10207,Madera County Superintendent of Schools
23,65243,Madera Unified
23,66589,Magnolia Elementary
23,63172,Magnolia Union Elementary
23,73692,Mammoth Unified
23,65573,Manchester Union Elementary
23,75333,Manhattan Beach Unified
23,68593,Manteca Unified
23,61499,Manzanita Elementary
23,62935,Maple Creek Elementary
23,63610,Maple Elementary
23,71407,Marcum-Illinois Union Elementary
23,63628,Maricopa Unified
23,10215,Marin County Office of Education
23,10223,Mariposa County Office of Education
23,65532,Mariposa County Unified
23,61572,Mark Twain Union Elementary
23,70805,Mark West Union Elementary
23,61739,Martinez Unified
23,72736,Marysville Joint Unified
23,75382,Mattole Unified
23,61606,Maxwell Unified
23,63180,McCabe Union Elementary
23,70409,McCloud Union Elementary
23,73908,McFarland Unified
23,62950,McKinleyville Union Elementary
23,63651,McKittrick Elementary
23,65763,McSwain Union Elementary
23,63198,Meadows Union Elementary
23,10231,Mendocino County Office of Education
23,65581,Mendocino Unified
23,75127,Mendota Unified
23,67116,Menifee Union Elementary
23,68965,Menlo Park City Elementary
23,65771,Merced City Elementary
23,10249,Merced County Office of Education
23,73726,Merced River Union Elementary
23,65789,Merced Union High
23,71415,Meridian Elementary
23,72470,Mesa Union Elementary
23,64055,Middletown Unified
23,63669,Midway Elementary
23,65391,Mill Valley Elementary
23,68973,Millbrae Elementary
23,65318,Miller Creek Elementary
23,70052,Millville Elementary
23,73387,Milpitas Unified
23,66084,Mission Union Elementary
23,71167,Modesto City Elementary
23,71175,Modesto City High
23,10256,Modoc County Office of Education
23,73585,Modoc Joint Unified
23,63677,Mojave Unified
23,10264,Mono County Office of Education
23,62323,Monroe Elementary
23,64790,Monrovia Unified
