year,district_code,district_name
21,70045,Junction Elementary
21,70367,Junction Elementary
21,67090,Jurupa Unified
21,70888,Kashia Elementary
21,64014,Kelseyville Unified
21,65334,Kentfield Elementary
21,70789,Kenwood
21,64642,Keppel Union Elementary
21,73999,Kerman Unified
21,10157,Kern County Office of Education
21,63529,Kern High
21,63545,Kernville Union Elementary
21,71134,Keyes Union
21,66050,King City Union
21,62265,Kings Canyon Joint Unified
21,10165,Kings County Office of Education
21,71969,Kings River Union Elementary
21,63941,Kings River-Hardwick Union Elementary
21,62240,Kingsburg Elementary Charter
21,62257,Kingsburg Joint Union High
21,71555,Kirkwood Elementary
21,63958,Kit Carson Union Elementary
21,70375,Klamath River Union Elementary
21,62901,Klamath-Trinity Joint Unified
21,62919,Kneeland Elementary
21,71142,Knights Ferry Elementary
21,61705,Knightsen Elementary
21,64022,Konocti Unified
21,64659,La Canada Unified
21,66563,La Habra City Elementary
21,68940,La Honda-Pescadero Unified
21,68197,La Mesa-Spring Valley
21,61713,Lafayette Elementary
21,66555,Laguna Beach Unified
21,65342,Laguna Joint Elementary
21,66076,Lagunita Elementary
21,65359,Lagunitas Elementary
21,10173,Lake County Office of Education
21,62596,Lake Elementary
21,75176,Lake Elsinore Unified
21,61903,Lake Tahoe Unified
21,64030,Lakeport Unified
21,69492,Lakeside Joint
21,63552,Lakeside Union
21,63966,Lakeside Union Elementary
21,68189,Lakeside Union Elementary
21,76760,Lammersville Joint Unified
21,63560,Lamont Elementary
21,64667,Lancaster Elementary
21,65367,Larkspur-Corte Madera
21,68957,Las Lomitas Elementary
21,64683,Las Virgenes Unified
21,10181,Lassen County Office of Education
21,64139,Lassen Union High
21,71563,Lassen View Union Elementary
21,62281,Laton Joint Unified
21,61911,Latrobe
21,64691,Lawndale Elementary
21,73916,Laytonville Unified
21,65722,Le Grand Union Elementary
21,65730,Le Grand Union High
21,75218,Leggett Valley Unified
21,68205,Lemon Grove
21,63974,Lemoore Union Elementary
21,63982,Lemoore Union High
21,64709,Lennox
21,71746,Lewiston Elementary
21,70797,Liberty Elementary
21,71985,Liberty Elementary
21,61721,Liberty Union High
21,65375,Lincoln Elementary
21,68569,Lincoln Unified
21,68577,Linden Unified
21,71993,Lindsay Unified
21,63586,Linns Valley-Poso Flat Union
21,64717,Little Lake City Elementary
21,70383,Little Shasta Elementary
21,69765,Live Oak Elementary
21,71399,Live Oak Unified
21,61200,Livermore Valley Joint Unified
21,65748,Livingston Union
21,68585,Lodi Unified
21,62927,Loleta Union Elementary
21,69500,Loma Prieta Joint Union Elementary
21,69229,Lompoc Unified
21,63289,Lone Pine Unified
21,64725,Long Beach Unified
21,66845,Loomis Union Elementary
21,73924,Los Alamitos Unified
21,69518,Los Altos Elementary
21,10199,Los Angeles County Office of Education
21,64733,Los Angeles Unified
21,65755,Los Banos Unified
21,69526,Los Gatos Union Elementary
21,69534,Los Gatos-Saratoga Union High
21,71571,Los Molinos Unified
21,64758,Los Nietos
21,69245,Los Olivos Elementary
21,63594,Lost Hills Union Elementary
21,64766,Lowell Joint
21,64048,Lucerne Elementary
21,75051,Lucerne Valley Unified
21,68759,Lucia Mar Unified
21,69542,Luther Burbank
21,64774,Lynwood Unified
21,10207,Madera County Superintendent of Schools
21,65243,Madera Unified
21,66589,Magnolia Elementary
21,63172,Magnolia Union Elementary
21,73692,Mammoth Unified
21,65573,Manchester Union Elementary
21,75333,Manhattan Beach Unified
21,68593,Manteca Unified
21,61499,Manzanita Elementary
21,62935,Maple Creek Elementary
21,63610,Maple Elementary
21,71407,Marcum-Illinois Union Elementary
21,63628,Maricopa Unified
21,10215,Marin County Office of Education
21,10223,Mariposa County Office of Education
21,65532,Mariposa County Unified
21,61572,Mark Twain Union Elementary
21,70805,Mark West Union Elementary
21,61739,Martinez Unified
21,72736,Marysville Joint Unified
21,75382,Mattole Unified
21,61606,Maxwell Unified
21,63180,McCabe Union Elementary
21,70409,McCloud Union Elementary
21,73908,McFarland Unified
21,62950,McKinleyville Union Elementary
21,63651,McKittrick Elementary
21,65763,McSwain Union Elementary
21,63198,Meadows Union Elementary
21,10231,Mendocino County Office of Education
21,65581,Mendocino Unified
21,75127,Mendota Unified
21,67116,Menifee Union Elementary
21,68965,Menlo Park City Elementary
21,65771,Merced City Elementary
21,10249,Merced County Office of Education
21,73726,Merced River Union Elementary
21,65789,Merced Union High
21,71415,Meridian Elementary
21,72470,Mesa Union Elementary
21,64055,Middletown Unified
21,63669,Midway Elementary
21,65391,Mill Valley Elementary
21,68973,Millbrae Elementary
21,65318,Miller Creek Elementary
21,70052,Millville Elementary
21,73387,Milpitas Unified
21,66084,Mission Union Elementary
21,71167,Modesto City Elementary
21,71175,Modesto City High
21,10256,Modoc County Office of Education
21,73585,Modoc Joint Unified
21,63677,Mojave Unified
21,10264,Mono County Office of Education
21,62323,Monroe Elementary
21,64790,Monrovia Unified
21,72009,Monson-Sultana Joint Union Elementary
21,70417,Montague Elementary
21,70813,Monte Rio Union Elementary
21,64808,Montebello Unified
21,69252,Montecito Union Elementary
21,10272,Monterey County Office of Education
21,66092,Monterey Peninsula Unified
21,70821,Montgomery Elementary
21,73940,Moorpark Unified
21,61747,Moraga Elementary
21,69575,Moreland
21,67124,Moreno Valley Unified
21,69583,Morgan Hill Unified
21,67777,Morongo Unified
21,61929,Mother Lode Union Elementary
21,69617,Mount Pleasant Elementary
21,69773,Mountain Elementary
21,68213,Mountain Empire Unified
21,61218,Mountain House Elementary
21,73700,Mountain Union Elementary
21,75028,Mountain Valley Unified
21,64816,Mountain View Elementary
21,67785,Mountain View Elementary
21,69591,Mountain View Whisman
21,69609,Mountain View-Los Altos Union High
21,67793,Mt. Baldy Joint Elementary
21,61754,Mt. Diablo Unified
21,70425,Mt. Shasta Union Elementary
21,63206,Mulberry Elementary
21,72504,Mupu Elementary
21,63685,Muroc Joint Unified
21,75200,Murrieta Valley Unified
21,10280,Napa County Office of Education
21,66266,Napa Valley Unified
21,68221,National Elementary
21,75283,Natomas Unified
21,67801,Needles Unified
21,66340,Nevada City Elementary
21,10298,Nevada County Office of Education
21,66357,Nevada Joint Union High
21,61242,New Haven Unified
21,68619,New Hope Elementary
21,68627,New Jerusalem Elementary
21,61234,Newark Unified
21,66852,Newcastle Elementary
21,64832,Newhall
21,73601,Newman-Crows Landing Unified
21,66597,Newport-Mesa Unified
21,65409,Nicasio
21,63693,Norris Elementary
21,67504,North County Joint Union Elementary
21,70078,North Cow Creek Elementary
21,73825,North Monterey County Unified
21,62687,Northern Humboldt Union High
21,64840,Norwalk-La Mirada Unified
21,65417,Novato Unified
21,71423,Nuestro Elementary
21,67157,Nuview Union
21,69625,Oak Grove Elementary
21,70839,Oak Grove Union Elementary
21,73874,Oak Park Unified
21,70086,Oak Run Elementary
21,72017,Oak Valley Union Elementary
21,68635,Oak View Union Elementary
21,75564,Oakdale Joint Unified
21,61259,Oakland Unified
21,61762,Oakley Union Elementary
21,66613,Ocean View
21,72512,Ocean View
21,73569,Oceanside Unified
21,72520,Ojai Unified
21,70847,Old Adobe Union
21,67819,Ontario-Montclair
21,62331,Orange Center
21,10306,Orange County Department of Education
21,66621,Orange Unified
21,69633,Orchard Elementary
21,69260,Orcutt Union Elementary
21,62968,Orick Elementary
21,61770,Orinda Union Elementary
21,75481,Orland Joint Unified
21,67827,Oro Grande
21,61507,Oroville City Elementary
