year,school_code,school_name
22,111724,California Montessori Project-Shingle Springs Campus
22,111732,California Montessori Project - Elk Grove Campus
22,111757,California Montessori Project - Capitol Campus
22,111765,Ruby Bridges Elementary
22,111773,Family Partnership Charter
22,111799,East Bay Arts High
22,111815,Stonebrae Elementary
22,111831,Olympian High
22,111856,AIMS College Prep High
22,111864,Normal Heights Elementary
22,111872,SOAR High (Students On Academic Rise)
22,111880,Discovery Charter
22,111898,Albert Einstein Academies
22,111906,King-Chavez Preparatory Academy
22,111914,Arroyo Vista Middle
22,111955,George De La Torre Jr. Elementary
22,111971,Frank del Olmo Elementary
22,111989,Charles H. Kim Elementary
22,111997,Huntington Park Elementary
22,112003,Wilshire Park Elementary
22,112011,William Jefferson Clinton Middle
22,112029,School of Business and Tourism at Contreras Learning Complex
22,112037,East Valley Senior High
22,112045,Arleta High
22,112052,Panorama High
22,112060,Hesby Oaks Leadership Charter
22,112078,Clarksburg Middle
22,112086,West Creek Elementary
22,112094,Triple Crown Elementary
22,112102,March Middle
22,112128,Aspire Ollin University Preparatory Academy
22,112144,Jane Addams Middle
22,112169,California Montessori Project-San Juan Campuses
22,112177,Monterey Bay Charter
22,112185,La Vina Middle
22,112201,PUC Excel Charter Academy
22,112235,Los Feliz Charter School for the Arts
22,112276,Gold Rush Charter
22,112284,California Virtual Academy San Mateo
22,112292,Aspire Summit Charter Academy
22,112300,La Vida Charter
22,112318,Enrique Camarena Jr. High
22,112367,William & Marian Ghidotti High
22,112383,Paradise Charter
22,112417,Ventura Charter School of Arts and Global Education
22,112425,Natomas Pacific Pathways Prep
22,112441,Pathways to College K8
22,112458,California Connections Academy@Central
22,112508,Bright Star Secondary Charter Academy
22,112565,New Vision High
22,112573,Adelante High
22,112607,Envision Academy for Arts & Technology
22,112615,Joe Stefani
22,112623,Riverside Meadows Intermediate
22,112631,Rio Del Mar
22,112649,Coral Mountain Academy
22,112656,Happy Valley Community Day
22,112664,Weir Preparatory Academy
22,112698,California Virtual Academy at Kings
22,112706,California Virtual Academy @ Los Angeles
22,112714,Antelope Valley Learning Academy
22,112722,Summit Preparatory Charter High
22,112748,Capistrano Home/Virtual
22,112763,United for Success Academy Middle
22,112789,Elmhurst United Middle
22,112797,Coliseum College Prep Academy
22,112813,Fred T. Korematsu Discovery Academy
22,112870,Contreras Learning Center-Los Angeles School of Global Studies
22,112896,Monterey Peninsula Unified School District Community Day
22,112987,Forestville Academy
22,113027,El Camino Real Elementary
22,113043,Ronald W. Reagan Elementary
22,113050,John J. Pershing Elementary
22,113068,Lincoln Crossing Elementary
22,113076,Ronald Reagan Elementary
22,113084,Rolling Hills Elementary
22,113092,Cordelia Hills Elementary
22,113100,Earl Warren Elementary
22,113118,Dougherty Valley High
22,113134,Riverbend Elementary
22,113142,Ronald W. Reagan Elementary
22,113159,Tahquitz High
22,113167,Teresa Burke Elementary
22,113183,Marin County Juvenile Court
22,113191,Heritage High
22,113209,John Morse Therapeutic Center
22,113274,Thomas E. Mathews Community
22,113332,Gateway Center
22,113357,Mossdale Elementary
22,113381,San Juan Hills High
22,113399,Sierra Vista
22,113407,Rocky Point Charter
22,113423,Kathy Binks Elementary
22,113431,University Preparatory Academy Charter
22,113464,Aveson Global Leadership Academy
22,113472,Aveson School of Leaders
22,113498,Poinsettia Elementary
22,113506,Taylor Mountain Elementary
22,113514,Louise Foussat Elementary
22,113522,Cesar Chavez Middle
22,113530,Santa Rosa Charter School for the Arts
22,113548,Granite Ridge Intermediate
22,113555,Clovis North High
22,113563,Bud Rank Elementary
22,113571,Vista del Lago High
22,113589,Live Oak Elementary
22,113597,Phillip M. Stokoe Elementary
22,113605,Lake Hills Elementary
22,113621,Russell Ranch Elementary
22,113639,Mission Valley Elementary
22,113647,Dr. Bernice Jameson Todd Academy
22,113654,Rosa Parks Elementary
22,113662,Voices College-Bound Language Academy
22,113688,Perdew Elementary
22,113696,Temecula Luiseno Elementary
22,113704,Rocketship Mateo Sheedy Elementary
22,113712,Orange Grove Elementary
22,113738,Veterans Elementary
22,113746,Mesa View Elementary
22,113753,Bobby Duke Middle
22,113761,Orchard Park
22,113779,West Palms Conservatory
22,113787,Cesar Chavez Community
22,113795,Crossroads Elementary
22,113803,Mary Ann Sanders Elementary
22,113811,Deborah A. Williams Elementary
22,113829,Mario G. Olmos Elementary
22,113837,Hacienda Elementary
22,113852,Riverbank Language Academy
22,113878,Higher Learning Academy
22,113894,Pasadena Rosebud Academy
22,113928,Riverside Preparatory
22,113936,Tournament Hills Elementary
22,113944,Beech Avenue Elementary
22,113951,Old River Elementary
22,113977,Rio Vista Middle
22,113985,Cesar Chavez Elementary
22,113993,Harvest Elementary
22,114009,Wolf Canyon Elementary
22,114025,Lincoln High
22,114033,Rodriguez Elementary
22,114041,Joyner Elementary
22,114058,Lisa J. Mails Elementary
22,114066,Ethan A Chase Middle
22,114074,Farmdale Elementary
22,114090,Mission Crest Elementary
22,114108,Cedar Middle
22,114140,George and Evelyn Stein Continuation
22,114157,Patriot High
22,114165,Pixley Middle
22,114181,Patricia Beatty Elementary
22,114199,John H. Liechty Middle
22,114207,Feather River Academy
22,114215,Lakeport Community Day
22,114223,Evergreen Community Day School (K-5)
22,114256,Inland Leaders Charter
22,114264,North County Trade Tech High
22,114272,SAVA - Sacramento Academic and Vocational Academy
22,114314,Bitney Prep High
22,114322,Yuba River Charter
22,114330,Nevada City School of the Arts
22,114348,Butterfield Charter
22,114355,Sierra Charter
22,114363,American Indian Public Charter II
22,114371,Rocklin Academy at Meyers Street
22,114389,Mirus Secondary
22,114421,KIPP King Collegiate High
22,114439,Mission View Public
22,114462,Health Sciences High and Middle College
22,114470,Making Waves Academy
22,114496,Dr. TJ Owens Gilroy Early College Academy
22,114504,Summit High (Continuation)
22,114512,California City High
22,114546,School of Engineering & Sciences
22,114553,University High
22,114561,Walnut Elementary Education Center
22,114579,John Green Elementary
22,114595,Strathmore Elementary
22,114603,Dooley Elementary
22,114637,"Vista Magnet Middle School of Technology, Science, and Math"
22,114645,Bethany Elementary
22,114652,Cobblestone Elementary
