year,cds,county_code,district_code,school_code
23,13631800000000,13,63180,0000000
23,13631980000000,13,63198,0000000
23,13632060000000,13,63206,0000000
23,13632140000000,13,63214,0000000
23,13632220000000,13,63222,0000000
23,13632300000000,13,63230,0000000
23,14101400128454,14,10140,0128454
23,14101400128447,14,10140,0128447
23,14101400117994,14,10140,0117994
23,14101400000000,14,10140,0000000
23,14632480000000,14,63248,0000000
23,14632710000000,14,63271,0000000
23,14632890000000,14,63289,0000000
23,14632970000000,14,63297,0000000
23,14633050000000,14,63305,0000000
23,14766870000000,14,76687,0000000
23,15101570124040,15,10157,0124040
23,15101571530500,15,10157,1530500
23,15101571530492,15,10157,1530492
23,15101570119669,15,10157,0119669
23,15101570135467,15,10157,0135467
23,15101570000000,15,10157,0000000
23,15633130000000,15,63313,0000000
23,15633210000000,15,63321,0000000
23,15633390000000,15,63339,0000000
23,15633540000000,15,63354,0000000
23,15633620000000,15,63362,0000000
23,15633700000000,15,63370,0000000
23,15633880000000,15,63388,0000000
23,15634046009351,15,63404,6009351
23,15634046009369,15,63404,6009369
23,15634040120139,15,63404,0120139
23,15634040000000,15,63404,0000000
23,15634120000000,15,63412,0000000
23,15634200000000,15,63420,0000000
23,15634380000000,15,63438,0000000
23,15634460000000,15,63446,0000000
23,15634610000000,15,63461,0000000
23,15634790000000,15,63479,0000000
23,15634870000000,15,63487,0000000
23,15635030000000,15,63503,0000000
23,15635291530435,15,63529,1530435
23,15635290000000,15,63529,0000000
23,15635450000000,15,63545,0000000
23,15635520000000,15,63552,0000000
23,15635600000000,15,63560,0000000
23,15635780135186,15,63578,0135186
23,15635780000000,15,63578,0000000
23,15635860000000,15,63586,0000000
23,15635940000000,15,63594,0000000
23,15636100000000,15,63610,0000000
23,15636280134312,15,63628,0134312
23,15636280137687,15,63628,0137687
23,15636280138131,15,63628,0138131
23,15636280127209,15,63628,0127209
23,15636280128504,15,63628,0128504
23,15636280000000,15,63628,0000000
23,15636510000000,15,63651,0000000
23,15636690000000,15,63669,0000000
23,15636770000000,15,63677,0000000
23,15636850000000,15,63685,0000000
23,15636930000000,15,63693,0000000
23,15637190000000,15,63719,0000000
23,15637500000000,15,63750,0000000
23,15637680000000,15,63768,0000000
23,15637760000000,15,63776,0000000
23,15637840000000,15,63784,0000000
23,15637920000000,15,63792,0000000
23,15638000000000,15,63800,0000000
23,15638180000000,15,63818,0000000
23,15638260000000,15,63826,0000000
23,15638340000000,15,63834,0000000
23,15638420000000,15,63842,0000000
23,15638590000000,15,63859,0000000
23,15735440000000,15,73544,0000000
23,15737420000000,15,73742,0000000
23,15739080000000,15,73908,0000000
23,15751680000000,15,75168,0000000
23,16101650000000,16,10165,0000000
23,16638750112698,16,63875,0112698
23,16638750101717,16,63875,0101717
23,16638750000000,16,63875,0000000
23,16638830000000,16,63883,0000000
23,16638910000000,16,63891,0000000
23,16639170000000,16,63917,0000000
23,16639250137901,16,63925,0137901
23,16639250000000,16,63925,0000000
23,16639330000000,16,63933,0000000
23,16639410000000,16,63941,0000000
