year,cds,county_code,district_code,school_code
20,01612596002042,01,61259,6002042
20,01612596002059,01,61259,6002059
20,01612596002075,01,61259,6002075
20,01612596002083,01,61259,6002083
20,01612596002091,01,61259,6002091
20,01612596002109,01,61259,6002109
20,01612596002117,01,61259,6002117
20,01612596002125,01,61259,6002125
20,01612596002141,01,61259,6002141
20,01612596002174,01,61259,6002174
20,01612596002182,01,61259,6002182
20,01612596002190,01,61259,6002190
20,01612596002216,01,61259,6002216
20,01612596002273,01,61259,6002273
20,01612596056998,01,61259,6056998
20,01612596057004,01,61259,6057004
20,01612596057020,01,61259,6057020
20,01612596057046,01,61259,6057046
20,01612596057061,01,61259,6057061
20,01612596057079,01,61259,6057079
20,01612596057087,01,61259,6057087
20,01612596057095,01,61259,6057095
20,01612596066450,01,61259,6066450
20,01612596072235,01,61259,6072235
20,01612596096523,01,61259,6096523
20,01612596111660,01,61259,6111660
20,01612596113807,01,61259,6113807
20,01612596114011,01,61259,6114011
20,01612596117568,01,61259,6117568
20,01612596117972,01,61259,6117972
20,01612596118608,01,61259,6118608
20,01612596118616,01,61259,6118616
20,01612596118640,01,61259,6118640
20,01612596118657,01,61259,6118657
20,01612750000001,01,61275,0000001
20,01612750130286,01,61275,0130286
20,01612750136515,01,61275,0136515
20,01612756002281,01,61275,6002281
20,01612756002299,01,61275,6002299
20,01612756002307,01,61275,6002307
20,01612756066492,01,61275,6066492
20,01612910000001,01,61291,0000001
20,01612910134528,01,61291,0134528
20,01612910137588,01,61291,0137588
20,01612916002372,01,61291,6002372
20,01612916002398,01,61291,6002398
20,01612916002414,01,61291,6002414
20,01612916002422,01,61291,6002422
20,01612916002430,01,61291,6002430
20,01612916002448,01,61291,6002448
20,01612916002455,01,61291,6002455
20,01612916002463,01,61291,6002463
20,01612916057111,01,61291,6057111
20,01612916066518,01,61291,6066518
20,01613090000001,01,61309,0000001
20,01613090101212,01,61309,0101212
20,01613090111799,01,61309,0111799
20,01613090114421,01,61309,0114421
20,01613090130849,01,61309,0130849
20,01613090137745,01,61309,0137745
20,01613090137810,01,61309,0137810
20,01613096002505,01,61309,6002505
20,01613096002513,01,61309,6002513
20,01613096002521,01,61309,6002521
20,01613096002539,01,61309,6002539
20,01613096002547,01,61309,6002547
20,01613096002554,01,61309,6002554
20,01613096002562,01,61309,6002562
20,01613096002604,01,61309,6002604
20,01613096002612,01,61309,6002612
20,01613096002620,01,61309,6002620
20,01613096002653,01,61309,6002653
20,01613096002703,01,61309,6002703
20,01750930000000,01,75093,0000000
20,01750930000001,01,75093,0000001
20,01750930114579,01,75093,0114579
20,01750930123935,01,75093,0123935
20,01750930125930,01,75093,0125930
20,01750930131615,01,75093,0131615
20,01750930132704,01,75093,0132704
20,01750930136929,01,75093,0136929
20,01750930138164,01,75093,0138164
20,01750930138453,01,75093,0138453
20,01750936001374,01,75093,6001374
20,01750936001390,01,75093,6001390
20,01750936001424,01,75093,6001424
20,01750936066484,01,75093,6066484
20,01750936118038,01,75093,6118038
20,01751010000000,01,75101,0000000
20,01751010000001,01,75101,0000001
20,01751010130096,01,75101,0130096
20,01751010130252,01,75101,0130252
20,01751010130583,01,75101,0130583
20,01751016001366,01,75101,6001366
20,01751016001416,01,75101,6001416
20,01751016002315,01,75101,6002315
20,01751016002323,01,75101,6002323
20,01751016002349,01,75101,6002349
20,01751016002356,01,75101,6002356
20,01751016066500,01,75101,6066500
20,01751016089361,01,75101,6089361
20,01751016108971,01,75101,6108971
20,01751016114318,01,75101,6114318
20,01751016117592,01,75101,6117592
20,01751016117600,01,75101,6117600
20,01751196002711,01,75119,6002711
20,01771800138289,01,77180,0138289
20,02100250230011,02,10025,0230011
20,02613330137125,02,61333,0137125
20,02613336002794,02,61333,6002794
20,03100330000001,03,10033,0000001
20,03100330330035,03,10033,0330035
20,03100330330068,03,10033,0330068
20,03739810330019,03,73981,0330019
20,03739810330050,03,73981,0330050
20,03739810330753,03,73981,0330753
20,03739810334755,03,73981,0334755
20,03739816002810,03,73981,6002810
20,03739816002828,03,73981,6002828
20,03739816002844,03,73981,6002844
20,03739816002851,03,73981,6002851
20,03739816002869,03,73981,6002869
20,03739816002877,03,73981,6002877
20,03739816107387,03,73981,6107387
20,03739816107395,03,73981,6107395
20,04100410114991,04,10041,0114991
20,04100410129817,04,10041,0129817
20,04100410134213,04,10041,0134213
20,04100410139493,04,10041,0139493
20,04100410430066,04,10041,0430066
20,04100410430090,04,10041,0430090
20,04100416069256,04,10041,6069256
