year,school_code,school_name
20,107920,Lakeside High
20,107938,Ezequiel Tafoya Alvarado Academy
20,107946,Lake Canyon Elementary
20,107961,Benjamin Franklin Elementary
20,107979,Sierra View Elementary
20,107987,Fairfax Jr. High
20,108001,Plumas County Opportunity
20,108019,Marsh Creek Elementary
20,108027,Oak Hills Elementary
20,108035,Park View Elementary
20,108050,Ruhkala Elementary
20,108068,Boronda Meadows
20,108076,Central Valley High
20,108084,Whitney High
20,108092,Orange Cove High
20,108100,Molly S. Bakman Elementary
20,108118,Akira Yokomi Elementary
20,108126,Sam H. Lawson Middle
20,108134,La Jolla Elementary
20,108142,Woods (Harold L.) Elementary
20,108159,Cesar Chavez High
20,108167,Adelante Dual Language Academy
20,108175,Sandra Tovar Medeiros Elementary
20,108191,Summit High
20,108209,Ellerth E. Larson Elementary
20,108217,Manlio Silva Elementary
20,108225,Ronald E. McNair High
20,108241,Ronald Reagan Elementary
20,108258,Lakeview Elementary
20,108266,Golden Hill K-8
20,108274,Porter Elementary
20,108282,Cherokee Point Elementary
20,108290,Ibarra Elementary
20,108324,Windemere Ranch Middle
20,108332,Oak Valley Middle
20,108340,Lake County International Charter
20,108357,George Kelly Elementary
20,108365,Segerstrom High
20,108373,Manuel Esqueda Elementary
20,108381,Thurgood Marshall Elementary
20,108399,Cesar Chavez Middle
20,108407,Eastside High
20,108415,Heritage Peak Charter
20,108423,Vanguard Preparatory
20,108431,Galileo Academy 101
20,108449,Endeavour School of Exploration
20,108464,Carrillo Ranch Elementary
20,108480,Crowne Hill Elementary
20,108498,Susan La Vorgna Elementary
20,108506,Tony Tobin Elementary
20,108514,Foskett Ranch Elementary
20,108522,Cappy Culver Elementary
20,108530,Antelope Hills Elementary
20,108548,Iftin Charter
20,108555,Design Science Middle College High
20,108563,EJE Elementary Academy Charter
20,108589,San Lauren Elementary
20,108597,Tesoro del Valle Elementary
20,108605,Stone Bridge
20,108613,Veritas Elementary
20,108621,Wilson C. Riles Middle
20,108639,Oak Meadows Elementary
20,108647,Aspire Rosa Parks Academy
20,108662,Veterans Elementary
20,108670,Leadership Public Schools - Hayward
20,108688,Academy of the Redwoods
20,108696,Ramblewood Elementary
20,108704,Oso Grande Elementary
20,108720,Arnold Adreani Elementary
20,108738,Helen Carr Castello Elementary
20,108746,Katherine L. Albiani Middle
20,108753,Pleasant Grove High
20,108761,Daniel J. Savage Middle
20,108779,Howard Tanner
20,108787,High Tech High Media Arts
20,108795,Creative Connections Arts Academy
20,108837,Community Collaborative Charter
20,108860,Westlake Charter
20,108878,CHAMPS - Charter HS of Arts-Multimedia & Performing
20,108886,Gabriella Charter
20,108894,Alliance Judy Ivie Burton Technology Academy High
20,108910,ISANA Nascent Academy
20,108928,Larchmont Charter
20,108936,Alliance Collins Family College-Ready High
20,108944,Lighthouse Community Charter High
20,108951,Arthur A. Benjamin Health Professions High
20,108977,Fowler Academy Community Day (9-12)
20,108993,Easton Community Day
20,109009,Summit Charter Academy
20,109033,King-Chavez Arts Academy
20,109041,King-Chavez Athletics Academy
20,109066,Orange County Educational Arts Academy
20,109074,Joel J. Hidahl Elementary
20,109082,M. Robert Adkison Elementary
20,109090,Sinclear Elementary
20,109108,Citrus Hill High
