year,county_code,district_code,school_code,charter_num,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
21,05,61564,0000000,,2685,1320,34,0,72,0,1068,1338,103,1374,,,,,,,,,1,05615640000000
21,05,61572,0000000,,690,391,2,0,1,0,298,399,52,410,,,,,,,,,1,05615720000000
21,05,61580,0000000,,544,50,2,0,24,0,178,237,24,249,,,,,,,,,1,05615800000000
21,06,10066,0000000,,20,16,1,0,3,1,11,16,5,17,,,,,,,,,1,06100660000000
21,06,61598,0000000,,1529,878,16,1,48,43,641,904,465,1039,,,,,,,,,1,06615980000000
21,06,61606,0000000,,325,238,2,0,64,10,59,241,108,246,,,,,,,,,1,06616060000000
21,06,61614,0000000,,1443,862,10,0,101,46,426,868,503,991,,,,,,,,,1,06616140000000
21,06,61622,0000000,,1338,1166,0,0,150,138,660,1166,720,1248,,,,,,,,,1,06616220000000
21,07,10074,0129528,1622,920,732,1,0,0,0,342,737,260,767,,6,10,,1,1,14,8,1,07100740129528
21,07,10074,0731380,1400,2266,404,2,0,4,0,321,419,59,449,,7,10,,1,1,9,12,1,07100740731380
21,07,10074,0134114,1773,460,107,0,0,1,0,101,114,17,122,,12,10,,1,1,6,12,1,07100740134114
21,07,10074,0730614,1887,103,80,2,0,7,0,59,80,21,87,,3,4,,2,0,6,12,1,07100740730614
21,07,10074,0137026,1933,217,130,0,0,0,0,64,132,52,153,,7,10,,1,1,7,12,1,07100740137026
21,07,10074,0114470,0868,1084,701,5,0,15,0,381,762,295,840,,12,10,,1,1,5,12,1,07100740114470
21,07,10074,6118368,0333,91,56,0,0,0,0,40,63,40,72,,9,10,,1,1,6,8,1,07100746118368
21,07,10074,0129684,1650,565,383,1,0,9,0,192,386,105,407,,7,10,,1,1,7,12,1,07100740129684
21,07,10074,0000000,,272,127,6,0,0,0,70,127,46,151,,,,,,,,,1,07100740000000
21,07,61630,0000000,,5535,344,4,0,4,0,326,372,92,432,,,,,,,,,1,07616300000000
21,07,61648,6115703,0143,194,56,0,0,0,0,32,57,25,75,,6,10,7,1,1,14,8,1,07616486115703
21,07,61648,0115063,0909,199,67,0,0,0,0,48,70,23,78,,6,10,7,1,1,14,8,1,07616480115063
21,07,61648,0137430,1965,554,412,1,0,22,0,259,424,164,449,,6,10,,1,1,14,5,1,07616480137430
21,07,61648,0000000,,15636,10680,125,0,275,0,6756,10684,2815,11273,,,,,,,,,1,07616480000000
21,07,61655,0000000,,9023,1923,24,0,46,1,1495,2112,907,2656,,,,,,,,,1,07616550000000
21,07,61663,0130930,1684,874,225,1,0,19,0,203,289,27,299,,12,10,,1,1,14,12,1,07616630130930
21,07,61663,0000000,,1319,410,15,0,1,0,271,425,88,446,,,,,,,,,1,07616630000000
21,07,61671,0000000,,72,5,0,0,0,0,5,7,0,7,,,,,,,,,1,07616710000000
21,07,61697,0000000,,1312,746,4,0,17,0,518,767,220,838,,,,,,,,,1,07616970000000
21,07,61705,0000000,,608,147,1,0,2,0,90,150,88,191,,,,,,,,,1,07617050000000
21,07,61713,0000000,,3261,102,0,0,0,0,105,108,79,172,,,,,,,,,1,07617130000000
21,07,61721,0000000,,8222,2016,25,0,78,6,1471,2055,484,2294,,,,,,,,,1,07617210000000
21,07,61739,0000000,,3983,944,12,0,8,0,772,958,344,1104,,,,,,,,,1,07617390000000
21,07,61747,0000000,,1761,59,2,0,0,0,59,62,41,98,,,,,,,,,1,07617470000000
21,07,61754,6118087,0305,326,29,0,0,0,0,28,30,6,35,,6,10,,2,0,1,8,1,07617546118087
21,07,61754,0000000,,29582,11579,101,0,319,0,7918,11793,6061,13548,,,,,,,,,1,07617540000000
21,07,61762,0000000,,4939,2040,20,0,15,1,1288,2054,660,2299,,,,,,,,,1,07617620000000
21,07,61770,0000000,,2474,9,0,0,2,0,56,56,29,80,,,,,,,,,1,07617700000000
21,07,61788,0000000,,11015,8041,63,0,252,0,4503,8164,2918,8626,,,,,,,,,1,07617880000000
21,07,61796,0132100,1739,580,424,0,0,0,0,215,425,98,441,,12,10,,1,1,6,12,1,07617960132100
21,07,61796,0132118,1740,450,357,0,0,5,0,167,358,183,391,,6,10,,1,1,14,5,1,07617960132118
21,07,61796,0101477,0557,600,435,0,0,4,0,256,440,159,469,,7,10,,1,1,9,12,1,07617960101477
21,07,61796,0126805,1441,261,197,0,0,0,0,90,207,80,219,,9,10,,1,1,6,8,1,07617960126805
21,07,61796,0129643,1660,474,154,0,0,3,0,189,334,150,370,,6,10,,1,1,14,5,1,07617960129643
21,07,61796,0110973,0755,548,338,1,0,5,0,222,376,215,439,,6,10,,1,0,14,8,1,07617960110973
21,07,61796,0133637,1774,521,341,0,0,12,0,139,341,121,362,,7,10,,1,1,7,12,1,07617960133637
21,07,61796,0136903,1906,210,111,0,0,0,0,76,114,141,175,,6,10,,1,1,14,8,1,07617960136903
21,07,61796,0000000,,27382,17910,79,0,696,2,9261,18032,8414,19255,,,,,,,,,1,07617960000000
21,07,61804,0000000,,30726,1349,13,0,34,0,1426,1600,1417,2790,,,,,,,,,1,07618040000000
21,07,61812,0000000,,3467,405,1,0,2,0,358,416,427,705,,,,,,,,,1,07618120000000
21,07,77024,0134072,1805,613,483,0,0,32,0,238,500,382,543,,5,10,,1,0,14,5,1,07770240134072
21,07,77354,0132233,1741,292,129,2,0,0,0,109,230,91,249,,7,10,,1,0,9,12,1,07773540132233
21,08,10082,0830059,0358,396,271,3,0,11,0,224,274,9,274,,12,10,,2,0,14,12,1,08100820830059
21,08,10082,0000000,,33,30,2,0,9,0,24,31,3,32,,,,,,,,,1,08100820000000
21,08,61820,0137729,0859,254,138,1,0,19,0,113,146,2,148,,12,10,,1,0,14,9,1,08618200137729
21,08,61820,0000000,,3564,2255,63,2,115,0,1759,2327,244,2379,,,,,,,,,1,08618200000000
21,09,10090,0123521,0360,183,48,1,0,0,0,42,48,2,49,,3,4,7,2,0,14,8,1,09100900123521
21,09,10090,0930123,0005,386,102,7,0,16,0,85,108,7,109,,3,4,7,2,0,14,12,1,09100900930123
21,09,10090,0136036,1880,885,96,1,0,0,0,84,98,21,112,,12,10,,1,1,14,12,1,09100900136036
21,09,10090,0930131,0053,66,66,48,0,0,0,14,66,5,66,,11,7,,2,0,9,12,1,09100900930131
21,09,10090,0000000,,192,64,3,0,0,0,41,67,0,68,,,,,,,,,1,09100900000000
21,09,61838,0137919,1999,80,3,0,0,0,0,3,3,10,12,,12,10,7,2,0,14,12,1,09618380137919
21,09,61838,0111724,0774,465,82,0,0,2,0,68,82,5,87,,6,10,,1,1,14,8,1,09618380111724
21,09,61838,0107227,0665,628,70,0,0,1,0,53,71,17,85,,6,10,7,2,0,14,8,1,09618380107227
21,09,61838,0136200,1891,1108,300,1,0,6,0,223,375,11,376,,12,10,,1,1,14,12,1,09618380136200
21,09,61838,0139006,1964,2372,687,2,0,25,0,582,883,154,923,,12,10,,1,1,14,12,1,09618380139006
21,09,61838,0129965,1655,149,20,0,0,1,0,21,22,4,25,,6,10,,1,1,14,8,1,09618380129965
21,09,61838,0000000,,3698,549,12,0,11,0,415,552,145,635,,,,,,,,,1,09618380000000
21,09,61846,0123125,1150,55,9,0,0,0,0,9,9,0,9,,6,10,,1,0,14,8,1,09618460123125
21,09,61846,0000000,,370,156,2,0,12,0,130,168,73,187,,,,,,,,,1,09618460000000
21,09,61853,0930214,0366,116,24,0,0,0,0,17,24,1,24,,7,10,,2,0,9,12,1,09618530930214
21,09,61853,0000000,,6730,1517,26,0,54,0,1043,1533,103,1576,,,,,,,,,1,09618530000000
21,09,61879,0000000,,418,138,5,0,6,0,129,141,4,143,,,,,,,,,1,09618790000000
21,09,61887,0000000,,593,143,2,0,13,0,125,149,13,150,,,,,,,,,1,09618870000000
21,09,61895,0000000,,14,8,0,0,0,0,6,8,0,8,,,,,,,,,1,09618950000000
21,09,61903,0000000,,3697,1806,17,0,138,0,1349,1906,826,2103,,,,,,,,,1,09619030000000
21,09,61911,0000000,,148,14,3,0,1,0,14,16,0,16,,,,,,,,,1,09619110000000
21,09,61929,0000000,,921,404,6,0,52,0,325,415,138,459,,,,,,,,,1,09619290000000
21,09,61945,0000000,,279,128,5,0,5,0,97,132,18,141,,,,,,,,,1,09619450000000
21,09,61952,0000000,,1213,660,7,0,49,0,485,665,160,691,,,,,,,,,1,09619520000000
21,09,61960,0000000,,584,255,3,0,10,0,225,271,9,273,,,,,,,,,1,09619600000000
21,09,61978,0000000,,3426,517,3,0,12,0,430,550,145,623,,,,,,,,,1,09619780000000
21,09,61986,0000000,,18,8,0,0,0,0,7,8,0,8,,,,,,,,,1,09619860000000
21,09,73783,0121566,1176,322,135,3,0,20,0,107,145,0,145,,12,10,7,2,0,14,12,1,09737830121566
21,09,73783,0000000,,943,362,5,0,57,0,276,390,12,394,,,,,,,,,1,09737830000000
21,10,10108,0119628,1085,595,49,9,0,9,0,296,341,110,402,,12,10,,1,1,14,12,1,10101080119628
21,10,10108,0136291,1850,229,113,0,0,2,1,81,114,7,116,,7,10,,1,1,9,12,1,10101080136291
21,10,10108,0140186,2101,80,43,1,0,0,0,30,49,11,51,,6,10,,1,1,14,8,1,10101080140186
21,10,10108,0109991,0746,1710,726,23,0,54,2,1128,1499,181,1547,,12,10,,1,1,14,12,1,10101080109991
21,10,10108,6085112,0195,480,438,3,0,0,22,382,461,101,464,,6,10,,1,1,14,6,1,10101086085112
21,10,10108,0111682,0787,74,47,0,0,0,0,6,47,0,47,,12,10,,1,1,14,12,1,10101080111682
21,10,10108,0127514,1503,370,231,10,0,8,0,225,301,11,301,,6,10,,1,1,14,8,1,10101080127514
21,10,10108,0000000,,794,595,38,0,19,2,332,602,126,614,,,,,,,,,1,10101080000000
21,10,61994,0000000,,185,144,4,0,0,11,107,144,50,146,,,,,,,,,1,10619940000000
21,10,62026,0000000,,51,16,0,0,48,0,12,51,0,51,,,,,,,,,1,10620260000000
21,10,62042,0000000,,133,120,0,0,5,7,46,122,74,124,,,,,,,,,1,10620420000000
21,10,62109,0000000,,215,35,0,0,3,0,28,35,4,38,,,,,,,,,1,10621090000000
21,10,62117,0118018,1006,515,276,0,0,1,0,151,278,14,280,,7,10,,2,0,7,12,1,10621170118018
21,10,62117,0000000,,42275,23137,187,7,32,37,11399,23223,2029,23681,,,,,,,,,1,10621170000000
21,10,62125,0000000,,4404,3994,24,0,42,146,2508,3999,1836,4030,,,,,,,,,1,10621250000000
21,10,62158,0000000,,2582,1663,15,0,7,12,1258,1834,486,1909,,,,,,,,,1,10621580000000
21,10,62166,0133942,1792,257,45,2,0,7,0,163,201,49,212,,6,10,,1,1,14,8,1,10621660133942
21,10,62166,0106740,0662,391,84,4,0,13,0,241,299,36,308,,6,10,,1,1,14,8,1,10621660106740
21,10,62166,1030840,0378,358,335,8,0,5,0,275,346,20,347,,7,10,,1,1,7,12,1,10621661030840
21,10,62166,0140038,2099,293,31,0,0,1,0,68,79,5,81,,12,10,,1,1,14,12,1,10621660140038
21,10,62166,0121533,1172,379,143,0,0,0,2,93,148,22,154,,6,10,2,2,0,14,5,1,10621660121533
21,10,62166,1030642,0149,145,2,1,0,12,0,115,118,10,121,,7,10,,1,1,9,12,1,10621661030642
21,10,62166,0114355,0898,403,267,2,0,0,0,228,300,22,303,,12,10,,1,1,14,12,1,10621660114355
21,10,62166,0114553,0890,483,107,1,0,3,0,78,108,1,109,,7,10,,1,1,9,12,1,10621660114553
21,10,62166,0000000,,69703,60229,685,0,226,714,44719,60965,13255,61619,,,,,,,,,1,10621660000000
21,10,62240,0000000,,2116,1309,4,0,152,0,848,1324,253,1352,,,,,,,,,1,10622400000000
21,10,62257,0000000,,1191,667,7,0,73,0,397,708,90,721,,,,,,,,,1,10622570000000
21,10,62265,0116640,1074,78,51,0,0,0,1,42,57,1,57,,7,10,2,2,0,9,12,1,10622650116640
21,10,62265,0126292,1513,246,199,0,0,0,7,123,200,4,201,,7,10,2,2,0,9,12,1,10622650126292
21,10,62265,0000000,,9307,7960,47,0,11,435,5762,8143,2744,8260,,,,,,,,,1,10622650000000
