year,county_code,district_code,school_code,charter_num,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,charter_dummy,school_type_num,ed_option_type_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
24,04,61424,0141085,2120,215,86,1,0,1,0,62,86,5,86,1,6,10,1,1,14,8,1,04614240141085
24,04,61424,6119523,0415,232,125,3,0,3,0,118,126,11,130,1,6,10,1,1,14,8,1,04614246119523
24,04,61424,6113773,0112,574,167,4,0,4,0,156,172,15,181,1,6,10,1,1,14,8,1,04614246113773
24,04,61424,0118042,1019,108,67,4,0,0,0,49,67,1,68,1,6,10,1,1,14,8,1,04614240118042
24,04,61424,0120394,1114,357,191,6,0,15,0,128,201,1,201,1,7,10,1,1,9,12,1,04614240120394
24,04,61424,0110551,0729,213,43,0,0,0,0,35,43,3,43,1,6,10,1,1,14,8,1,04614240110551
24,04,61424,0137828,1982,106,51,3,0,5,0,53,69,2,69,1,12,10,1,1,6,12,1,04614240137828
24,04,61424,0121475,1166,111,52,1,0,12,0,59,65,3,65,1,6,10,1,1,14,8,1,04614240121475
24,04,61424,0123810,1280,170,65,0,0,1,0,54,65,1,66,1,6,10,1,1,14,8,1,04614240123810
24,04,61424,0000000,,12316,6210,76,0,523,17,4956,6564,843,6689,,,,,,,,1,04614240000000
24,04,61432,0000000,,1026,422,5,0,23,9,304,422,75,427,,,,,,,,1,04614320000000
24,04,61457,0000000,,72,61,4,0,2,2,45,61,5,61,,,,,,,,1,04614570000000
24,04,61499,0000000,,323,127,1,0,1,2,119,129,59,145,,,,,,,,1,04614990000000
24,04,61507,0121509,1170,63,43,1,0,0,0,44,45,0,45,1,12,10,1,1,14,12,1,04615070121509
24,04,61507,0129577,1616,481,255,1,0,7,0,173,257,21,262,1,6,10,1,1,14,8,1,04615070129577
24,04,61507,0000000,,2054,1707,47,0,108,4,1374,1707,138,1714,,,,,,,,1,04615070000000
24,04,61515,0000000,,2264,1660,20,0,101,0,1319,1801,118,1808,,,,,,,,1,04615150000000
24,04,61523,0000000,,1283,1006,10,0,94,2,761,1027,154,1038,,,,,,,,1,04615230000000
24,04,61531,0110338,0751,141,67,0,0,1,0,46,69,9,71,1,6,10,1,1,14,8,1,04615310110338
24,04,61531,6113765,0094,197,84,1,0,8,0,103,129,4,129,1,6,10,1,1,14,8,1,04615316113765
24,04,61531,6112585,0067,121,81,1,0,13,0,71,85,0,85,1,12,10,1,1,14,12,1,04615316112585
24,04,61531,6112999,0079,144,60,0,0,0,0,48,60,1,60,1,9,10,1,1,6,8,1,04615316112999
24,04,61531,0000000,,1652,1070,15,0,62,0,884,1134,19,1136,,,,,,,,1,04615310000000
24,04,61549,0000000,,1520,1286,10,0,33,0,1059,1293,191,1319,,,,,,,,1,04615490000000
24,04,73379,0000000,,31,30,0,0,9,0,27,30,1,30,,,,,,,,1,04733790000000
24,04,75507,0000000,,1995,1264,8,0,23,67,1082,1508,286,1524,,,,,,,,1,04755070000000
24,05,10058,0530154,0527,398,141,3,0,14,0,177,226,3,226,1,12,10,2,1,14,12,1,05100580530154
24,05,10058,0000000,,40,0,11,0,0,0,17,27,1,27,,,,,,,,1,05100580000000
24,05,61556,0000000,,627,271,4,0,7,0,256,309,24,319,,,,,,,,1,05615560000000
24,05,61564,0000000,,2845,0,28,0,142,0,1248,1294,109,1346,,,,,,,,1,05615640000000
24,05,61572,0000000,,767,448,9,0,19,0,366,464,47,472,,,,,,,,1,05615720000000
24,05,61580,0000000,,580,320,1,0,22,0,184,326,28,334,,,,,,,,1,05615800000000
24,06,10066,0000000,,42,38,3,0,5,0,26,40,2,40,,,,,,,,1,06100660000000
24,06,61598,0000000,,1463,970,5,1,50,15,693,1131,314,1169,,,,,,,,1,06615980000000
24,06,61606,0000000,,350,188,1,0,80,9,129,220,119,245,,,,,,,,1,06616060000000
24,06,61614,0000000,,1494,1063,7,0,65,48,547,1080,389,1135,,,,,,,,1,06616140000000
24,06,61622,0000000,,1354,1284,2,0,148,189,704,1284,711,1305,,,,,,,,1,06616220000000
24,07,10074,0129528,1622,949,728,0,0,3,0,347,731,287,763,1,6,10,1,1,14,8,1,07100740129528
24,07,10074,0731380,1400,2390,408,1,0,0,0,438,554,91,596,1,7,10,1,1,9,12,1,07100740731380
24,07,10074,0134114,1773,361,124,3,0,5,0,120,166,34,175,1,12,10,1,1,6,12,1,07100740134114
24,07,10074,0730614,1887,103,75,2,0,5,0,59,75,20,77,1,3,4,2,0,6,12,1,07100740730614
24,07,10074,0137026,1933,389,288,1,0,8,0,171,292,92,305,1,7,10,1,1,7,12,1,07100740137026
24,07,10074,0114470,0868,1103,852,1,0,2,0,423,863,288,917,1,12,10,1,1,5,12,1,07100740114470
24,07,10074,6118368,0333,89,46,0,0,0,0,42,59,44,74,1,9,10,1,1,6,8,1,07100746118368
24,07,10074,0129684,1650,554,421,1,0,25,0,229,424,116,441,1,7,10,1,1,7,12,1,07100740129684
24,07,10074,0000000,,206,72,11,0,0,0,65,76,34,111,,,,,,,,1,07100740000000
24,07,61630,0000000,,5415,450,4,0,15,0,407,459,139,529,,,,,,,,1,07616300000000
24,07,61648,6115703,0143,207,57,0,0,0,0,50,57,27,68,1,6,10,1,1,14,8,1,07616486115703
24,07,61648,0115063,0909,200,89,0,0,1,0,66,89,27,99,1,6,10,1,1,14,8,1,07616480115063
24,07,61648,0137430,1965,604,417,0,0,32,0,309,429,155,479,1,6,10,1,1,14,5,1,07616480137430
24,07,61648,0000000,,15033,11065,162,0,265,0,7359,11298,3043,11914,,,,,,,,1,07616480000000
24,07,61655,0000000,,9751,0,18,0,82,0,2073,2113,896,2650,,,,,,,,1,07616550000000
24,07,61663,0130930,1684,948,242,0,0,8,0,228,341,27,353,1,12,10,1,1,14,12,1,07616630130930
24,07,61663,0000000,,1237,384,9,0,11,0,277,387,81,408,,,,,,,,1,07616630000000
24,07,61671,0000000,,69,13,0,0,0,0,9,13,0,13,,,,,,,,1,07616710000000
24,07,61697,0000000,,1220,952,1,0,76,0,572,954,233,976,,,,,,,,1,07616970000000
24,07,61705,0000000,,596,161,2,0,14,0,96,167,72,188,,,,,,,,1,07617050000000
24,07,61713,0000000,,3212,134,3,0,13,0,131,147,117,227,,,,,,,,1,07617130000000
24,07,61721,0000000,,8241,1872,19,0,157,2,1790,1909,595,2236,,,,,,,,1,07617210000000
24,07,61739,0000000,,3771,1173,5,0,45,0,829,1205,272,1286,,,,,,,,1,07617390000000
24,07,61747,0000000,,1770,83,1,0,0,0,92,100,65,150,,,,,,,,1,07617470000000
24,07,61754,6118087,0305,292,1,0,0,0,0,26,26,9,31,1,6,10,2,0,1,8,1,07617546118087
24,07,61754,0134072,1805,653,442,2,0,46,0,305,448,345,532,1,6,10,1,1,14,5,1,07617540134072
24,07,61754,0000000,,29064,6193,53,0,408,0,9112,11897,6275,13726,,,,,,,,1,07617540000000
24,07,61762,0000000,,5098,2155,18,0,15,0,1509,2167,657,2423,,,,,,,,1,07617620000000
24,07,61770,0000000,,2554,61,0,0,3,0,62,62,55,111,,,,,,,,1,07617700000000
24,07,61788,0000000,,10709,8156,50,0,450,0,5070,8371,2627,8838,,,,,,,,1,07617880000000
24,07,61796,0132100,1739,595,459,0,0,3,0,254,468,85,475,1,12,10,1,1,6,12,1,07617960132100
24,07,61796,0132118,1740,563,436,1,0,7,0,238,437,242,485,1,6,10,1,1,14,5,1,07617960132118
