year,district_code,district_name
20,63628,Maricopa Unified
20,10215,Marin County Office of Education
20,10223,Mariposa County Office of Education
20,65532,Mariposa County Unified
20,61572,Mark Twain Union Elementary
20,70805,Mark West Union Elementary
20,61739,Martinez Unified
20,72736,Marysville Joint Unified
20,75382,Mattole Unified
20,61606,Maxwell Unified
20,63180,McCabe Union Elementary
20,70409,McCloud Union Elementary
20,73908,McFarland Unified
20,62950,McKinleyville Union Elementary
20,63651,McKittrick Elementary
20,65763,McSwain Union Elementary
20,63198,Meadows Union Elementary
20,10231,Mendocino County Office of Education
20,65581,Mendocino Unified
20,75127,Mendota Unified
20,67116,Menifee Union Elementary
20,68965,Menlo Park City Elementary
20,65771,Merced City Elementary
20,10249,Merced County Office of Education
20,73726,Merced River Union Elementary
20,65789,Merced Union High
20,71415,Meridian Elementary
20,72470,Mesa Union Elementary
20,64055,Middletown Unified
20,63669,Midway Elementary
20,65391,Mill Valley Elementary
20,68973,Millbrae Elementary
20,65318,Miller Creek Elementary
20,70052,Millville Elementary
20,73387,Milpitas Unified
20,66084,Mission Union Elementary
20,71167,Modesto City Elementary
20,71175,Modesto City High
20,10256,Modoc County Office of Education
20,73585,Modoc Joint Unified
20,63677,Mojave Unified
20,10264,Mono County Office of Education
20,62323,Monroe Elementary
20,64790,Monrovia Unified
20,72009,Monson-Sultana Joint Union Elementary
20,70417,Montague Elementary
20,70813,Monte Rio Union Elementary
20,64808,Montebello Unified
20,69252,Montecito Union Elementary
20,10272,Monterey County Office of Education
20,66092,Monterey Peninsula Unified
20,70821,Montgomery Elementary
20,73940,Moorpark Unified
20,61747,Moraga Elementary
20,69575,Moreland
20,67124,Moreno Valley Unified
20,69583,Morgan Hill Unified
20,67777,Morongo Unified
20,61929,Mother Lode Union Elementary
20,69617,Mount Pleasant Elementary
20,69773,Mountain Elementary
20,68213,Mountain Empire Unified
20,61218,Mountain House Elementary
20,73700,Mountain Union Elementary
20,75028,Mountain Valley Unified
20,64816,Mountain View Elementary
20,67785,Mountain View Elementary
20,69591,Mountain View Whisman
20,69609,Mountain View-Los Altos Union High
20,67793,Mt. Baldy Joint Elementary
20,61754,Mt. Diablo Unified
20,70425,Mt. Shasta Union Elementary
20,63206,Mulberry Elementary
20,72504,Mupu Elementary
20,63685,Muroc Joint Unified
20,75200,Murrieta Valley Unified
20,10280,Napa County Office of Education
20,66266,Napa Valley Unified
20,68221,National Elementary
20,75283,Natomas Unified
20,67801,Needles Unified
20,66340,Nevada City Elementary
20,10298,Nevada County Office of Education
20,66357,Nevada Joint Union High
20,61242,New Haven Unified
20,68619,New Hope Elementary
20,68627,New Jerusalem Elementary
20,61234,Newark Unified
20,66852,Newcastle Elementary
20,64832,Newhall
20,73601,Newman-Crows Landing Unified
20,66597,Newport-Mesa Unified
20,65409,Nicasio
20,63693,Norris Elementary
20,67504,North County Joint Union Elementary
20,70078,North Cow Creek Elementary
20,73825,North Monterey County Unified
20,62687,Northern Humboldt Union High
20,64840,Norwalk-La Mirada Unified
20,65417,Novato Unified
20,71423,Nuestro Elementary
20,67157,Nuview Union
20,69625,Oak Grove Elementary
20,70839,Oak Grove Union Elementary
20,73874,Oak Park Unified
20,70086,Oak Run Elementary
20,72017,Oak Valley Union Elementary
20,68635,Oak View Union Elementary
20,75564,Oakdale Joint Unified
20,61259,Oakland Unified
20,61762,Oakley Union Elementary
20,66613,Ocean View
20,72512,Ocean View
20,73569,Oceanside Unified
20,72520,Ojai Unified
20,70847,Old Adobe Union
20,67819,Ontario-Montclair
20,62331,Orange Center
20,10306,Orange County Department of Education
20,66621,Orange Unified
20,69633,Orchard Elementary
20,69260,Orcutt Union Elementary
20,62968,Orick Elementary
20,61770,Orinda Union Elementary
20,75481,Orland Joint Unified
20,67827,Oro Grande
20,61507,Oroville City Elementary
20,61515,Oroville Union High
20,72025,Outside Creek Elementary
20,63297,Owens Valley Unified
20,72538,Oxnard
20,72546,Oxnard Union High
20,70094,Pacheco Union Elementary
20,69781,Pacific Elementary
20,66134,Pacific Grove Unified
20,62356,Pacific Union Elementary
20,62976,Pacific Union Elementary
20,68932,Pacifica
20,69799,Pajaro Valley Unified
20,61523,Palermo Union Elementary
20,67173,Palm Springs Unified
20,64857,Palmdale Elementary
20,69641,Palo Alto Unified
20,67181,Palo Verde Unified
20,72033,Palo Verde Union Elementary
20,64865,Palos Verdes Peninsula Unified
20,63362,Panama-Buena Vista Union
20,67520,Panoche Elementary
20,71209,Paradise Elementary
20,61531,Paradise Unified
20,64873,Paramount Unified
20,62364,Parlier Unified
20,64881,Pasadena Unified
20,75457,Paso Robles Joint Unified
20,71217,Patterson Joint Unified
20,62984,Peninsula Union
20,76877,Penn Valley Union Elementary
20,67199,Perris Elementary
20,67207,Perris Union High
20,70854,Petaluma City Elementary
20,70862,Petaluma Joint Union High
20,61275,Piedmont City Unified
20,61614,Pierce Joint Unified
20,62372,Pine Ridge Elementary
20,70870,Piner-Olivet Union Elementary
20,73379,Pioneer Union Elementary
20,61945,Pioneer Union Elementary
